Cm, alpha_m, beta_m, V_t, alpha_m_kf, beta_m_kf, V_t_kf, alpha_t_kf, C_a_up
-0.059569, 0.011004, 0.0021863, 150.48, 6.357451883167106e-05, 0.0006850978358938819, 150.4742618359672, 0.0001908617564293212, -0.5985855480415583
-0.059569, -0.001596, -0.0056881, 149.4, 5.6032353922913114e-05, -0.0005989983487482826, 149.94042347344129, 0.00016821886634978185, -0.5987728384924644
-0.059569, 0.0086323, 0.00024707, 151.76, 0.00019715165781947861, -0.0006067128859641279, 150.54451903110902, 0.0005918835468343745, -0.5954509808187808
-0.059569, -0.010381, -0.0014088, 149.82, 0.00013002983268064572, -0.000665469407744344, 150.36393566186, 0.0003903721602573151, -0.598183579957461
-0.059568, 0.014912, 0.0064683, 151.9, 0.00043075230894751857, 0.0004982511234296837, 150.6704711013756, 0.0012931933073593662, -0.5861433400178991
-0.059567, -0.004233, 0.0012754, 148.79, 0.00030086305548964083, 0.0004680007551839672, 150.35766980065583, 0.0009032431903651075, -0.5886202305674814
-0.059567, 0.0031024, 0.0031745, 151.1, 0.00038401473693449933, 0.0008533226261690419, 150.46357799811207, 0.0011528789919767253, -0.5867435384522207
-0.059566, 0.0022936, -0.0045995, 151.7, 0.0006292462676136388, 0.00037813019160936505, 150.61791809149344, 0.001889106674661984, -0.5854235917695946
-0.059565, -0.0034611, 0.006914, 150.85, 0.0006411527328046161, 0.0009945623372672743, 150.64372360641892, 0.0019248519528170804, -0.5907146313118443
-0.059563, 0.0079347, -0.0053252, 149.18, 0.0005477531590976489, 0.0004659839426583798, 150.4974701833579, 0.0016444501972857277, -0.5822405528878951
-0.059562, 0.0044734, 0.0003311, 150.01, 0.0005386516099197845, 0.00046503176113851075, 150.45320326053022, 0.001617125764568989, -0.5780382946895096
-0.05956, -0.00041448, -0.0029891, 149.89, 0.0005020758253889033, 0.00024216325015279975, 150.4063123225266, 0.001507318901589372, -0.5786036720975023
-0.059559, -0.011547, 0.00021398, 148.77, 0.000403030540334018, 0.0002593638680450775, 150.28055592758636, 0.001209967739220829, -0.5872056188383268
-0.059557, 0.0097636, 0.0045808, 148.68, 0.0004313054712400791, 0.0005158135401528534, 150.16633713604452, 0.0012948539967155548, -0.5795970694908044
-0.059555, 0.0028106, 0.0068765, 150.26, 0.0004579495400820926, 0.0009076015202576091, 150.17260421916328, 0.0013748441228079772, -0.5777037860826382
-0.059553, -0.007033, -0.0061571, 150.86, 0.0004353819991544652, 0.000547661088401443, 150.21551618895964, 0.0013070924421205916, -0.5837272811528338
-0.05955, 0.014876, 0.0039841, 149.87, 0.000524099019454581, 0.0007364487711460917, 150.1952229961619, 0.0015734363583756127, -0.5703776248597687
-0.059548, -0.010007, 0.0031443, 149.27, 0.00044394631056700334, 0.000847878028030991, 150.1438623220253, 0.001332803993679994, -0.5782024847648548
-0.059545, 0.0053695, -0.0041368, 148.1, 0.0004470520925016758, 0.0006064155690187627, 150.0363514169432, 0.0013421280909131567, -0.573890853128739
-0.059542, -0.0077024, 0.0013563, 149.45, 0.0004051855400584494, 0.0006505785459354385, 150.00705668507112, 0.0012164374229882945, -0.5794857929608588
-0.05954, 0.011757, 0.0037318, 149.16, 0.0004688354695130461, 0.0007857328071374348, 149.9667555733631, 0.0014075255752159562, -0.5702411774138829
-0.059536, -0.012071, 0.0041232, 148.94, 0.00040255115241282077, 0.000917568118063964, 149.9201219327625, 0.001208528533351368, -0.5786854622442037
-0.059533, 0.0099249, 0.0024061, 151.71, 0.0007821682839728334, 0.0010443423156710448, 149.99796988318133, 0.0023482051495762627, -0.5712500170484129
-0.05953, -0.011617, -9.2951e-05, 148.25, 0.0005802336462779696, 0.0009790703014521671, 149.92513637415757, 0.0017419622657502986, -0.5811359625721332
-0.059527, -0.002126, -0.0052038, 151.28, 0.0008164641984657143, 0.0007859689561948456, 149.97935877305738, 0.0024511674464013883, -0.5904911872498043
-0.059523, -0.013293, -0.0030561, 150.9, 0.0009315290148754062, 0.0006734450555423096, 150.01483400700243, 0.002796612026506186, -0.6222109609325087
-0.059519, -0.014781, -0.0035743, 150.12, 0.0008390775070572112, 0.000545272825887927, 150.0187200825258, 0.0025190565295713147, -0.651013840721408
-0.059515, 0.013934, -0.00079577, 150.22, 0.0010187846122897606, 0.0005181761602150166, 150.02597747783224, 0.003058568497225033, -0.6261464326965513
-0.059511, 0.0044735, -0.0047981, 151.75, 0.0027343232650719846, 0.00035654907641609476, 150.08902795121801, 0.00820891373789227, -0.6759912407154601
-0.059507, -0.00044217, -0.0036354, 148.16, 0.00184671538422091, 0.00026579241822741726, 150.0222431279505, 0.005544160590356874, -0.6445320556397024
-0.059503, -0.00046315, 0.0036, 149.78, 0.0017140768664548583, 0.00038401670776866376, 150.01426984218242, 0.005145956704016191, -0.6471747457275541
-0.059498, 0.0055357, 0.0017543, 150.91, 0.0023970626540953063, 0.00043977470016307924, 150.04366767318194, 0.007196398759117985, -0.6629991697883643
-0.059494, 0.0032259, 0.0055543, 148.69, 0.001922316144427516, 0.0005963958729259737, 150.0014585216641, 0.005771127213865733, -0.6273581224209537
-0.059489, 0.0070353, 0.004777, 148.18, 0.0015490241285771266, 0.00071500589781253, 149.94741518788354, 0.004650439694469928, -0.5897176203534067
-0.059484, -0.0037172, -0.0020177, 150.01, 0.0015160082422330957, 0.0006578670255225487, 149.94922560950425, 0.004551320264649669, -0.6031009569390376
-0.059479, -0.0038775, 0.004744, 148.8, 0.0012805033313070605, 0.0007714255471334908, 149.917202911591, 0.0038442935852014614, -0.602340311035786
-0.059474, 0.012744, 0.0017294, 149.1, 0.0012952728989795372, 0.0008045131627594936, 149.89511270501774, 0.003888634394687326, -0.5751373959542856
-0.059469, 0.0064282, -0.00022579, 148.08, 0.0011920851400727152, 0.0007805932124882816, 149.84733635260238, 0.003578846805746109, -0.5579737196034069
-0.059464, -0.013108, 0.0061942, 148.95, 0.0010458285023052971, 0.0009176302920728957, 149.82434043753076, 0.0031397589559796386, -0.574843651104518
-0.059458, 0.0054272, -0.0048127, 148.31, 0.0010408787200114425, 0.0007861611656137714, 149.78649944758934, 0.003124898849133227, -0.5655854317955299
-0.059453, 0.0012754, 0.005031, 151.82, 0.0018629126431434387, 0.0009218658375256449, 149.83665456893604, 0.005592787577145082, -0.6204961381732086
-0.059447, -0.0024741, 0.0030769, 151.4, 0.0023208324739601677, 0.0010073880383178386, 149.8788816184862, 0.006967542507574198, -0.7872728680006023
-0.059441, 0.003949, -0.0016622, 150.86, 0.0016712630633766708, 0.0009762309580545181, 149.91243980116533, 0.005017422225028501, -0.9028951820505673
-0.059435, -0.015273, 0.0060556, 148.51, 0.0012435877473336411, 0.0010800010943598707, 149.87140023232985, 0.0037334665852294083, -0.8952839519929148
-0.059429, -0.003469, 0.0050678, 150.08, 0.0007945950825290997, 0.001182255805791935, 149.87737412089575, 0.0023855125589413613, -0.938059587438827
-0.059423, 0.0039374, -0.0040347, 149.82, 0.0010405783232849172, 0.00108681870769725, 149.8758909360021, 0.0031239970059434726, -0.9177213053269236
-0.059417, 0.0040536, -0.0037066, 148.42, 0.0014051054047102445, 0.0009878943513122265, 149.8411137120155, 0.004218370668622807, -0.8467604595455978
-0.05941, -0.0016339, -0.0041152, 148.49, 0.0012932885822977075, 0.0008897273624249113, 149.81162678511967, 0.003882677131082881, -0.8193138254160581
-0.059404, -0.00043769, 0.0024845, 151.43, 0.0006132779812290187, 0.0009497409087135024, 149.85311077191832, 0.0018411671032339306, -0.9588249529412302
-0.059397, -0.0016922, 0.0075606, 151.61, -0.009862031846605437, 0.001119101367312663, 149.97468593841728, -0.029607533879868135, -1.2473833932384597
-0.05939, 0.00089544, 0.0039762, 151.9, -0.019525804343561378, 0.0012215684952288693, 150.41654122580718, -0.05861985872948268, -1.2255279767814677
-0.059384, 0.011644, -0.0026252, 150.48, -0.00751365045630502, 0.0011639321540831836, 150.43100030287675, -0.0225572847367259, -1.0856942632793987
-0.059377, 0.010978, 0.004313, 150.35, -0.0022924776512768287, 0.001231702609518982, 150.41671145423737, -0.006882416401076826, -1.0264760451190211
-0.05937, 0.0039862, 0.0055341, 149.63, -0.000821577779147223, 0.0013106881447180968, 150.3107585899213, -0.0024665193044799364, -1.0105155201184375
-0.059363, 0.011784, 0.004365, 149.03, 0.0009102986284400872, 0.0013603961579105803, 150.18988052755842, 0.002732874716036766, -0.9865189546914117
-0.059355, 0.014965, 0.00082675, 151.24, 0.002812170153383256, 0.0013733410582848918, 150.29250775459974, 0.008442623628406528, -0.9634148332090152
-0.059348, 0.0081027, 0.0035348, 150.67, 0.003544031072556052, 0.0014243177412792706, 150.3303816618644, 0.01063979732413115, -0.9557353658748942
-0.059341, -0.0049075, -0.0054866, 149.45, 0.0025757146308937376, 0.0013136617947665785, 150.25901979187825, 0.007732743047803853, -0.9652123338643901
-0.059333, 5.4436e-05, 0.004457, 150.72, 0.002370109418098897, 0.0013787578439186214, 150.29552521854768, 0.0071154804594868145, -0.9693057529321959
-0.059325, -0.0036587, 0.0059659, 151.59, 0.001762751991734169, 0.0014728961090433306, 150.40729793304897, 0.00529208789110114, -0.9796082963966012
-0.059318, 0.0084711, 0.0030397, 149.14, 0.0023379363422000423, 0.0014961529348408863, 150.31542044031517, 0.00701889129312524, -0.9704493529153047
-0.05931, 0.0026526, 0.0077367, 149.74, 0.0023424880925803577, 0.0015964245797469914, 150.2804307413693, 0.00703255643897896, -0.9692488877491023
-0.059302, 0.0084594, 0.0033234, 151.25, 0.0028370220986599862, 0.001641276142366013, 150.34262382235084, 0.008517233488038515, -0.9651646307583557
-0.059294, 0.0019271, -0.005645, 148.44, 0.0026924345689320122, 0.0015248557795020483, 150.24300186762198, 0.00808315659074063, -0.9632063918873373
-0.059286, -0.00594, 0.0048366, 148.37, 0.0022036331674051115, 0.0015653574345568595, 150.16522754191263, 0.00661568981702339, -0.9668037155278625
-0.059278, 0.0019739, -0.0026721, 150.72, 0.002216251091326973, 0.0015154381331347459, 150.18830879806546, 0.006653571017958541, -0.9676499405778902
-0.05927, 0.00094345, -0.0048431, 150.38, 0.0021675230431256907, 0.0014323674676652196, 150.19671931509893, 0.00650728094706246, -0.9687122162105847
-0.059261, 0.012867, -0.0043649, 149.09, 0.002556254181944824, 0.0013520880384748047, 150.15776012826535, 0.007674319397329562, -0.9611512929279112
-0.059253, 0.0073471, 0.00034668, 151.5, 0.002826349597999855, 0.0013500979569523073, 150.20847714061236, 0.008485192785899988, -0.9599090653335701
-0.059244, 0.0075646, -0.0025753, 149.24, 0.0029631067251991005, 0.0012992370355281533, 150.17550991065502, 0.008895761453680026, -0.956147799833205
-0.059236, -0.0039774, 0.0070708, 151.64, 0.0027560062677505163, 0.0013901261140919431, 150.2297365953703, 0.008274009881000232, -0.9620109059280045
-0.059227, 0.0046333, -0.0018982, 148.15, 0.002750537678879754, 0.0013438723953952982, 150.16320955931118, 0.008257592226627933, -0.958786411358492
-0.059219, -0.005292, -0.0054391, 149.88, 0.0024820370893056227, 0.0012585374036147836, 150.15556074288605, 0.007451506784375284, -0.962424635081654
-0.05921, -0.0057044, -0.0054744, 149.41, 0.0022193729174805523, 0.0011744588859534542, 150.1356047799265, 0.006662943282725762, -0.9654657403945615
-0.059201, 0.014451, 0.0070031, 148.24, 0.0024900948616416755, 0.0012495486724689302, 150.0896108451497, 0.007475697617577476, -0.9586443702440246
-0.059192, 0.015957, 0.0068073, 148.94, 0.00276381526650545, 0.0013204623580331126, 150.06454885350107, 0.008297453852668618, -0.952354426835163
-0.059183, 0.010748, -0.00014831, 151.67, 0.003045793199871291, 0.0013112775737551595, 150.10262206749604, 0.009144000623695117, -0.9505495903945512
-0.059175, 0.0083147, -0.0014147, 149.74, 0.0031599647588754884, 0.0012798356839075872, 150.09507694147987, 0.009486763489797366, -0.948132897559784
-0.059166, 0.011008, -0.005293, 150.56, 0.003380004919216847, 0.0012028218288934718, 150.106475684576, 0.010147362299816505, -0.9454763458106809
-0.059156, -0.0074023, 0.0026399, 151.51, 0.003179406821619784, 0.0012253295449627206, 150.14096046727184, 0.009545131941689397, -0.9512716092438734
-0.059147, 0.0081272, -0.00088058, 150.57, 0.003332434482317875, 0.0012029424883571221, 150.1523065990525, 0.010004547579272762, -0.9497436276522898
-0.059138, -0.011444, -0.0052679, 149.38, 0.0029400703487339496, 0.0011280226550276168, 150.13515726087158, 0.008826602247213246, -0.9546008980408127
-0.059129, 0.010525, -0.0030722, 149.54, 0.003102169075161861, 0.0010805947053211962, 150.12288089068346, 0.009313250800903509, -0.9512673546191264
-0.05912, 0.0091094, 0.0013416, 151.56, 0.0033082065742520324, 0.0010840814887128375, 150.1565539885786, 0.009931811187821677, -0.9505050227974391
-0.05911, -0.012653, -0.0024734, 150.22, 0.002923041351532023, 0.0010440764454973624, 150.15888968153047, 0.008775478237532648, -0.9564135679928862
-0.059101, -0.0044138, -0.0031617, 149.54, 0.0027428817608353205, 0.0009978046563906813, 150.14621378700187, 0.008234607829861858, -0.9583881463886779
-0.059092, -0.0036353, 0.0043309, 151.1, 0.002609569744442125, 0.0010340653272697166, 150.16827113644885, 0.007834381983570997, -0.961616862369183
-0.059082, 0.0033891, 0.0076793, 151.16, 0.002640896372892211, 0.0011069864407147064, 150.19203307213436, 0.007928429967556895, -0.9623891189704789
-0.059073, 0.011012, -0.001149, 149.7, 0.002839889782987353, 0.0010817096184881812, 150.18194220172927, 0.00852584277486702, -0.95901898563011
